faculty_id,faculty_name,department_id,department_name,department_type,year,male,female,total_male_number,total_female_number,total_student_number_,professors,assoc_prof,phd,base_point,tyt_turkce,tyt_matematik,tyt_fen,tyt_sosyal,ayt_matematik,ayt_fizik,ayt_kimya,ayt_biyoloji,ayt_edebiyat,ayt_cografya1,ayt_cografya2,ayt_din,ayt_felsefe,ayt_tarih1,ayt_tarih2,Marmara,Ege,Akdeniz,Karadeniz,Ic_Anadolu,Dogu_Anadolu,Guney_Dogu_Anadolu
5,Kimya-Metalurji Fakültesi,5,Biyomühendislik (İngilizce),SAY,2022,12,50,118,350,468,6,5,5,"438,49980",31.3,29.9,14.1,13.5,30.8,7.3,9.0,8.4,,,,,,,,39,5,6,6,3,2,1
5,Kimya-Metalurji Fakültesi,5,Biyomühendislik (İngilizce),SAY,2023,14,48,113,333,446,11,7,2,"448,85903",31.4,28.9,15.7,13.8,28.9,10.6,9.7,8.5,,,,,,,,46,5,5,2,4,0,0
5,Kimya-Metalurji Fakültesi,17,Gıda Mühendisliği,SAY,2021,18,54,63,323,386,4,4,3,"332,56982",27.2,15.2,11.9,11.5,15.7,3.5,8.6,9.0,,,,,,,,53,8,2,4,3,2,0
5,Kimya-Metalurji Fakültesi,17,Gıda Mühendisliği,SAY,2022,12,60,73,338,411,3,6,2,"406,61907",29.9,26.0,12.0,12.1,27.3,5.9,8.3,7.2,,,,,,,,54,1,4,5,7,0,1
5,Kimya-Metalurji Fakültesi,17,Gıda Mühendisliği,SAY,2023,12,60,79,331,410,5,4,3,"420,75616",30.2,26.2,14.3,12.3,26.1,9.4,8.7,7.3,,,,,,,,62,3,3,2,1,1,0
5,Kimya-Metalurji Fakültesi,31,Kimya Mühendisliği,SAY,2021,23,59,147,377,524,7,8,12,"384,72075",28.9,17.5,14.6,12.9,20.6,5.9,10.4,10.7,,,,,,,,62,5,4,6,3,1,1
5,Kimya-Metalurji Fakültesi,31,Kimya Mühendisliği,SAY,2022,27,55,156,398,554,8,9,10,"458,24052",30.5,31.3,14.3,13.7,34.0,8.7,10.2,8.6,,,,,,,,65,4,5,3,3,1,1
5,Kimya-Metalurji Fakültesi,31,Kimya Mühendisliği,SAY,2023,32,50,157,367,524,12,8,7,"469,35381",31.6,31.7,16.3,14.2,31.9,11.8,10.4,8.7,,,,,,,,64,8,3,5,0,1,1
5,Kimya-Metalurji Fakültesi,32,Kimya Mühendisliği (İngilizce),SAY,2021,23,49,143,277,420,7,8,12,"396,43280",29.1,19.2,14.3,13.6,22.1,6.3,10.4,11.0,,,,,,,,44,12,7,5,3,1,0
5,Kimya-Metalurji Fakültesi,32,Kimya Mühendisliği (İngilizce),SAY,2022,30,42,176,304,480,8,9,10,"471,42170",31.1,33.4,14.4,14.5,35.3,9.2,10.3,9.6,,,,,,,,54,6,7,1,4,0,0
