faculty_id,faculty_name,department_id,department_name,department_type,year,male,female,total_male_number,total_female_number,total_student_number_,professors,assoc_prof,phd,base_point,success_order,preferred,quota,placed_number,tyt_turkce,tyt_matematik,tyt_fen,tyt_sosyal,ayt_matematik,ayt_fizik,ayt_kimya,ayt_biyoloji,ayt_edebiyat,ayt_cografya1,ayt_cografya2,ayt_din,ayt_felsefe,ayt_tarih1,ayt_tarih2,ydt_yabanci_dil,Marmara,Ege,Akdeniz,Karadeniz,Ic_Anadolu,Dogu_Anadolu,Guney_Dogu_Anadolu
3,Fen-Edebiyat Fakültesi,12,Fizik,SAY,2021,48,34,306,182,488,17,13,8,271.41914,226256,790,82,82,23.8,11.8,8.5,10.1,10.4,3.5,4.8,6.3,,,,,,,,,58,9,3,6,1,3,1
3,Fen-Edebiyat Fakültesi,12,Fizik,SAY,2022,42,40,272,185,457,19,10,9,343.06152,188673,1373,82,82,26.3,24.3,11.3,10.4,22.2,5.4,5.7,5.2,,,,,,,,,66,0,1,3,2,6,3
3,Fen-Edebiyat Fakültesi,12,Fizik,SAY,2023,45,37,278,188,466,25,13,9,375.23418,144675,1325,84,82,28.4,23.1,13.6,12.2,21.8,9.2,6.7,6.1,,,,,,,,,59,9,5,1,6,0,2
3,Fen-Edebiyat Fakültesi,12,Fizik,SAY,2024,56,26,278,188,466,25,13,9,374.7259,111851,1236,82,82,28.5,25.7,13.8,13.0,18.4,9.9,6.2,8.1,,,,,,,,,58,4,5,5,6,1,3
3,Fen-Edebiyat Fakültesi,14,Fransızca Mütercim ve Tercümanlık,DİL,2021,21,31,14,37,51,2,2,1,388.76072,15602,1141,52,52,28.0,5.6,3.1,11.3,,,,,,,,,,,,67.9,36,6,2,3,4,1,0
3,Fen-Edebiyat Fakültesi,14,Fransızca Mütercim ve Tercümanlık,DİL,2022,15,37,50,90,140,2,3,2,433.33719,13437,1157,52,52,31.0,13.6,4.6,13.2,,,,,,,,,,,,72.0,41,4,1,0,2,3,1
3,Fen-Edebiyat Fakültesi,14,Fransızca Mütercim ve Tercümanlık,DİL,2023,11,43,46,123,169,1,3,5,448.15957,11332,880,54,54,31.1,16.6,6.3,13.8,,,,,,,,,,,,72.7,42,3,4,1,3,1,0
3,Fen-Edebiyat Fakültesi,14,Fransızca Mütercim ve Tercümanlık,DİL,2024,5,52,46,123,169,1,3,5,450.04507,8686,1064,57,57,31.9,16.2,5.5,13.9,,,,,,,,,,,,73.9,46,2,3,4,2,0,0
3,Fen-Edebiyat Fakültesi,26,İstatistik,SAY,2021,37,45,249,205,454,5,3,7,310.7446,144907,1335,82,82,25.5,12.8,11.2,11.1,14.3,3.7,7.6,8.4,,,,,,,,,59,3,8,8,2,1,1
3,Fen-Edebiyat Fakültesi,26,İstatistik,SAY,2022,42,40,278,212,490,5,4,5,406.24208,99244,2079,82,82,28.9,27.9,12.4,12.2,29.7,6.0,8.3,6.6,,,,,,,,,55,8,10,5,2,1,1
3,Fen-Edebiyat Fakültesi,26,İstatistik,SAY,2023,58,25,311,215,526,5,6,4,439.59054,67879,2320,84,83,29.9,29.5,15.2,13.4,28.8,11.2,9.3,7.9,,,,,,,,,60,3,7,5,5,2,1
3,Fen-Edebiyat Fakültesi,26,İstatistik,SAY,2024,55,33,311,215,526,5,6,4,434.52786,50478,1577,88,88,31.0,32.2,15.1,13.4,24.7,11.1,8.4,9.5,,,,,,,,,59,9,4,6,7,1,2
3,Fen-Edebiyat Fakültesi,29,Kimya,SAY,2021,23,80,144,495,639,28,12,5,310.79958,144820,1227,103,103,25.8,12.6,11.3,10.9,12.9,3.2,8.6,8.6,,,,,,,,,93,5,2,1,2,0,0
3,Fen-Edebiyat Fakültesi,29,Kimya,SAY,2022,22,81,131,485,616,32,10,3,391.70909,115672,1792,103,103,28.6,24.3,12.1,12.0,25.5,5.4,8.0,6.7,,,,,,,,,89,3,3,6,0,0,2
3,Fen-Edebiyat Fakültesi,29,Kimya,SAY,2023,21,82,125,469,594,40,9,8,414.37146,93677,1618,106,103,30.1,25.3,14.4,12.7,23.9,9.4,8.5,7.5,,,,,,,,,84,5,6,2,4,1,1
3,Fen-Edebiyat Fakültesi,29,Kimya,SAY,2024,16,46,125,469,594,40,9,8,402.0282,80526,1312,62,62,31.1,27.6,13.3,13.3,18.7,8.8,7.2,8.7,,,,,,,,,51,4,1,4,2,0,0
3,Fen-Edebiyat Fakültesi,30,Kimya (İngilizce),SAY,2021,15,37,69,149,218,28,12,5,343.29233,99871,972,52,52,26.9,15.7,12.9,12.0,17.1,3.8,9.4,9.6,,,,,,,,,37,3,5,2,3,1,1
