faculty_id,faculty_name,department_id,department_name,department_type,year,male,female,total_male_number,total_female_number,total_student_number
10,İnşaat Fakültesi,24,İnşaat Mühendisliği,SAY,2021,116,18,899,125,1024
10,İnşaat Fakültesi,24,İnşaat Mühendisliği,SAY,2021,116,18,801,150,951
10,İnşaat Fakültesi,24,İnşaat Mühendisliği,SAY,2021,116,18,724,141,865
10,İnşaat Fakültesi,25,İnşaat Mühendisliği (İngilizce),SAY,2021,54,8,324,32,356
10,İnşaat Fakültesi,25,İnşaat Mühendisliği (İngilizce),SAY,2021,54,8,356,45,401
10,İnşaat Fakültesi,25,İnşaat Mühendisliği (İngilizce),SAY,2021,54,8,348,58,406
3,Fen-Edebiyat Fakültesi,26,İstatistik,SAY,2021,37,45,249,205,454
3,Fen-Edebiyat Fakültesi,26,İstatistik,SAY,2021,37,45,278,212,490
3,Fen-Edebiyat Fakültesi,26,İstatistik,SAY,2021,37,45,311,215,526
9,İktisadi ve İdari Bilimler Fakültesi,27,İşletme,EA,2021,42,51,279,245,524
9,İktisadi ve İdari Bilimler Fakültesi,27,İşletme,EA,2021,42,51,307,242,549
9,İktisadi ve İdari Bilimler Fakültesi,27,İşletme,EA,2021,42,51,296,260,556
9,İktisadi ve İdari Bilimler Fakültesi,28,İşletme (İngilizce),EA,2021,25,27,104,69,173
9,İktisadi ve İdari Bilimler Fakültesi,28,İşletme (İngilizce),EA,2021,25,27,181,143,324
9,İktisadi ve İdari Bilimler Fakültesi,28,İşletme (İngilizce),EA,2021,25,27,208,171,379
7,Mimarlık Fakültesi,56,Şehir ve Bölge Planlama,SAY,2021,18,64,117,267,384
7,Mimarlık Fakültesi,56,Şehir ve Bölge Planlama,SAY,2021,18,64,124,307,431
7,Mimarlık Fakültesi,56,Şehir ve Bölge Planlama,SAY,2021,18,64,137,308,445
