faculty_id,faculty_name,department_id,department_name,department_type,year,male,female,total_male_number,total_female_number,total_student_number,avg_professors,avg_assoc_prof,avg_phd,avg_base_point,total_leaving,total_incoming,avg_success_order,total_quota,total_preferred
5,Kimya-Metalurji Fakültesi,32,Kimya Mühendisliği (İngilizce),SAY,2023,28,44,176,311,487,12.0,8.0,7.0,484.0,12,4,29.203,72,1716
5,Kimya-Metalurji Fakültesi,39,Matematik Mühendisliği,SAY,2021,53,50,364,347,711,11.0,5.0,10.0,400.0,2,1,43.145,103,1.057
5,Kimya-Metalurji Fakültesi,39,Matematik Mühendisliği,SAY,2022,58,45,367,302,669,12.0,5.0,9.0,482.0,3,1,30.017,103,1.961
5,Kimya-Metalurji Fakültesi,39,Matematik Mühendisliği,SAY,2023,75,28,402,274,676,14.0,5.0,10.0,503.0,4,1,16.507,103,2283
5,Kimya-Metalurji Fakültesi,40,Matematik Mühendisliği (İngilizce),SAY,2021,48,24,205,197,402,11.0,5.0,10.0,411.0,7,0,34.558,72,1.072
5,Kimya-Metalurji Fakültesi,40,Matematik Mühendisliği (İngilizce),SAY,2022,49,23,272,186,458,12.0,5.0,9.0,496.0,7,0,19.614,72,1.932
5,Kimya-Metalurji Fakültesi,40,Matematik Mühendisliği (İngilizce),SAY,2023,51,21,306,175,481,14.0,5.0,10.0,511.0,13,0,11.881,72,2035
5,Kimya-Metalurji Fakültesi,41,Matematik Mühendisliği (KKTC Uyruklu),SAY,2021,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1,3
5,Kimya-Metalurji Fakültesi,41,Matematik Mühendisliği (KKTC Uyruklu),SAY,2022,1,0,0,0,0,0.0,0.0,0.0,459.0,0,0,48.118,1,9
5,Kimya-Metalurji Fakültesi,41,Matematik Mühendisliği (KKTC Uyruklu),SAY,2023,0,1,0,0,0,14.0,5.0,10.0,413.0,0,0,94.505,1,6
5,Kimya-Metalurji Fakültesi,45,Metalurji ve Malzeme Mühendisliği,SAY,2021,45,58,487,220,707,14.0,6.0,10.0,367.0,7,1,73.218,103,1.099
5,Kimya-Metalurji Fakültesi,45,Metalurji ve Malzeme Mühendisliği,SAY,2022,54,49,416,263,679,10.0,9.0,8.0,443.0,5,0,62.737,103,1.448
5,Kimya-Metalurji Fakültesi,45,Metalurji ve Malzeme Mühendisliği,SAY,2023,56,47,380,249,629,10.0,10.0,8.0,454.0,7,0,53.949,103,1413
5,Kimya-Metalurji Fakültesi,46,Metalurji ve Malzeme Mühendisliği (İngilizce),SAY,2021,30,22,203,124,327,14.0,6.0,10.0,385.0,2,0,55.952,52,946
5,Kimya-Metalurji Fakültesi,46,Metalurji ve Malzeme Mühendisliği (İngilizce),SAY,2022,33,19,209,129,338,0.0,0.0,0.0,460.0,8,3,47.547,52,1.296
5,Kimya-Metalurji Fakültesi,46,Metalurji ve Malzeme Mühendisliği (İngilizce),SAY,2023,30,22,205,127,332,10.0,10.0,8.0,474.0,5,2,36.943,52,1203
6,Makine Fakültesi,9,Endüstri Mühendisliği,SAY,2021,45,37,333,278,611,9.0,4.0,8.0,426.0,3,0,24.127,82,1.769
6,Makine Fakültesi,9,Endüstri Mühendisliği,SAY,2022,44,38,357,286,643,10.0,5.0,8.0,503.0,1,0,15.537,82,2.39
6,Makine Fakültesi,9,Endüstri Mühendisliği,SAY,2023,41,41,334,270,604,10.0,4.0,8.0,512.0,13,0,11.527,82,2036
6,Makine Fakültesi,10,Endüstri Mühendisliği (İngilizce),SAY,2021,29,23,224,160,384,9.0,4.0,8.0,439.0,8,0,16.841,52,1.96
6,Makine Fakültesi,10,Endüstri Mühendisliği (İngilizce),SAY,2022,28,24,268,199,467,10.0,5.0,8.0,510.0,3,0,11.027,52,2.626
6,Makine Fakültesi,10,Endüstri Mühendisliği (İngilizce),SAY,2023,26,26,265,203,468,10.0,4.0,8.0,519.0,4,0,8.111,52,2346
