department_name,year,total_male_number,total_female_number,male_change,male_percentage_change,female_change,female_percentage_change
İktisat (İngilizce),2024,222,134,0.0,0.0,0.0,0.0
İletişim ve Tasarımı,2021,27,39,0.0,0.0,0.0,0.0
İletişim ve Tasarımı,2022,82,153,55.0,203.70370370370372,114.0,292.30769230769226
İletişim ve Tasarımı,2023,105,218,23.0,28.04878048780488,65.0,42.48366013071896
İletişim ve Tasarımı,2024,105,218,0.0,0.0,0.0,0.0
İlköğretim Matematik Öğretmenliği,2021,92,225,0.0,0.0,0.0,0.0
İlköğretim Matematik Öğretmenliği,2022,96,248,4.0,4.347826086956519,23.0,10.222222222222221
İlköğretim Matematik Öğretmenliği,2023,86,232,-10.0,-10.416666666666663,-16.0,-6.451612903225811
İlköğretim Matematik Öğretmenliği,2024,86,232,0.0,0.0,0.0,0.0
İngilizce Öğretmenliği,2021,112,191,0.0,0.0,0.0,0.0
İngilizce Öğretmenliği,2022,119,202,7.0,6.25,11.0,5.759162303664911
İngilizce Öğretmenliği,2023,112,197,-7.0,-5.882352941176472,-5.0,-2.4752475247524774
İngilizce Öğretmenliği,2024,112,197,0.0,0.0,0.0,0.0
İnşaat Mühendisliği,2021,899,125,0.0,0.0,0.0,0.0
İnşaat Mühendisliği,2022,801,150,-98.0,-10.901001112347053,25.0,19.999999999999996
İnşaat Mühendisliği,2023,724,141,-77.0,-9.612983770287142,-9.0,-6.000000000000005
İnşaat Mühendisliği,2024,724,141,0.0,0.0,0.0,0.0
İnşaat Mühendisliği (İngilizce),2021,324,32,0.0,0.0,0.0,0.0
İnşaat Mühendisliği (İngilizce),2022,356,45,32.0,9.876543209876543,13.0,40.625
İnşaat Mühendisliği (İngilizce),2023,348,58,-8.0,-2.2471910112359605,13.0,28.888888888888896
İnşaat Mühendisliği (İngilizce),2024,348,58,0.0,0.0,0.0,0.0
İstatistik,2021,249,205,0.0,0.0,0.0,0.0
İstatistik,2022,278,212,29.0,11.646586345381515,7.0,3.4146341463414664
İstatistik,2023,311,215,33.0,11.870503597122294,3.0,1.4150943396226356
İstatistik,2024,311,215,0.0,0.0,0.0,0.0
İşletme,2021,279,245,0.0,0.0,0.0,0.0
İşletme,2022,307,242,28.0,10.035842293906816,-3.0,-1.224489795918371
İşletme,2023,296,260,-11.0,-3.583061889250816,18.0,7.438016528925617
İşletme,2024,296,260,0.0,0.0,0.0,0.0
İşletme (İngilizce),2021,104,69,0.0,0.0,0.0,0.0
İşletme (İngilizce),2022,181,143,77.0,74.03846153846155,74.0,107.24637681159419
İşletme (İngilizce),2023,208,171,27.0,14.917127071823199,28.0,19.580419580419584
İşletme (İngilizce),2024,208,171,0.0,0.0,0.0,0.0
Şehir ve Bölge Planlama,2021,117,267,0.0,0.0,0.0,0.0
Şehir ve Bölge Planlama,2022,124,307,7.0,5.982905982905984,40.0,14.981273408239693
Şehir ve Bölge Planlama,2023,137,308,13.0,10.483870967741925,1.0,0.32573289902280145
Şehir ve Bölge Planlama,2024,137,308,0.0,0.0,0.0,0.0
