year,department_name,quota,preferred,placed_students,Quota Change,Preferred Change,Placed Students Change,Quota Change (%),Preferred Change (%),Placed Students Change (%)
2023,Rehberlik ve Psikolojik Danışmanlık,72,1587,72,0.0,382.0,0.0,0.0,31.701244813278006,0.0
2024,Rehberlik ve Psikolojik Danışmanlık,41,1376,41,-31.0,-211.0,-31.0,-43.05555555555556,-13.295526149968495,-43.05555555555556
2021,Sanat ve Kültür Yönetimi,62,508,62,,,,,,
2022,Sanat ve Kültür Yönetimi,62,1007,62,0.0,499.0,0.0,0.0,98.22834645669292,0.0
2023,Sanat ve Kültür Yönetimi,64,718,64,2.0,-289.0,2.0,3.2258064516129004,-28.69910625620655,3.2258064516129004
2024,Sanat ve Kültür Yönetimi,67,753,67,3.0,35.0,3.0,4.6875,4.874651810584951,4.6875
2021,Siyaset Bilimi ve Uluslararası İlişkiler,82,1471,82,,,,,,
2022,Siyaset Bilimi ve Uluslararası İlişkiler,82,2114,82,0.0,643.0,0.0,0.0,43.71176070700204,0.0
2023,Siyaset Bilimi ve Uluslararası İlişkiler,84,1920,84,2.0,-194.0,2.0,2.4390243902439046,-9.17691579943235,2.4390243902439046
2024,Siyaset Bilimi ve Uluslararası İlişkiler,88,2587,88,4.0,667.0,4.0,4.761904761904767,34.739583333333336,4.761904761904767
2021,Sosyal Bilgiler Öğretmenliği,52,770,52,,,,,,
2022,Sosyal Bilgiler Öğretmenliği,52,723,52,0.0,-47.0,0.0,0.0,-6.1038961038961,0.0
2023,Sosyal Bilgiler Öğretmenliği,52,624,52,0.0,-99.0,0.0,0.0,-13.692946058091282,0.0
2024,Sosyal Bilgiler Öğretmenliği,52,665,52,0.0,41.0,0.0,0.0,6.570512820512819,0.0
2021,Sınıf Öğretmenliği,62,1382,62,,,,,,
2022,Sınıf Öğretmenliği,62,977,62,0.0,-405.0,0.0,0.0,-29.30535455861071,0.0
2023,Sınıf Öğretmenliği,62,1210,62,0.0,233.0,0.0,0.0,23.84851586489254,0.0
2024,Sınıf Öğretmenliği,31,1062,31,-31.0,-148.0,-31.0,-50.0,-12.231404958677683,-50.0
2021,Türk Dili ve Edebiyatı,72,994,72,,,,,,
2022,Türk Dili ve Edebiyatı,72,1627,72,0.0,633.0,0.0,0.0,63.68209255533199,0.0
2023,Türk Dili ve Edebiyatı,74,1105,74,2.0,-522.0,2.0,2.777777777777768,-32.08358942839582,2.777777777777768
2024,Türk Dili ve Edebiyatı,31,1188,31,-43.0,83.0,-43.0,-58.10810810810811,7.511312217194566,-58.10810810810811
2021,Türkçe Öğretmenliği,62,117,62,,,,,,
2022,Türkçe Öğretmenliği,62,890,62,0.0,773.0,0.0,0.0,660.6837606837606,0.0
2023,Türkçe Öğretmenliği,62,873,62,0.0,-17.0,0.0,0.0,-1.9101123595505642,0.0
2024,Türkçe Öğretmenliği,41,699,41,-21.0,-174.0,-21.0,-33.87096774193549,-19.931271477663227,-33.87096774193549
2021,Çevre Mühendisliği,72,909,72,,,,,,
2022,Çevre Mühendisliği,72,997,72,0.0,88.0,0.0,0.0,9.680968096809671,0.0
2023,Çevre Mühendisliği,72,960,72,0.0,-37.0,0.0,0.0,-3.711133400200606,0.0
2024,Çevre Mühendisliği,52,999,52,-20.0,39.0,-20.0,-27.77777777777778,4.062499999999991,-27.77777777777778
2023,İktisat,106,4822,106,,,,,,
2024,İktisat,103,2829,103,-3.0,-1993.0,-3.0,-2.8301886792452824,-41.33139776026545,-2.8301886792452824
2021,İktisat (İngilizce),52,1188,52,,,,,,
2022,İktisat (İngilizce),52,1406,52,0.0,218.0,0.0,0.0,18.35016835016836,0.0
2023,İktisat (İngilizce),54,1645,52,2.0,239.0,0.0,3.8461538461538547,16.99857752489331,0.0
2024,İktisat (İngilizce),62,2004,62,8.0,359.0,10.0,14.814814814814813,21.82370820668693,19.23076923076923
2021,İletişim ve Tasarımı,62,660,62,,,,,,
2022,İletişim ve Tasarımı,62,979,62,0.0,319.0,0.0,0.0,48.33333333333334,0.0
2023,İletişim ve Tasarımı,64,811,64,2.0,-168.0,2.0,3.2258064516129004,-17.16036772216547,3.2258064516129004
2024,İletişim ve Tasarımı,67,894,67,3.0,83.0,3.0,4.6875,10.234278668310726,4.6875
2021,İlköğretim Matematik Öğretmenliği,62,1394,62,,,,,,
2022,İlköğretim Matematik Öğretmenliği,62,1097,62,0.0,-297.0,0.0,0.0,-21.30559540889526,0.0
2023,İlköğretim Matematik Öğretmenliği,62,712,62,0.0,-385.0,0.0,0.0,-35.09571558796718,0.0
2024,İlköğretim Matematik Öğretmenliği,31,354,31,-31.0,-358.0,-31.0,-50.0,-50.2808988764045,-50.0
