Department Name,Year,Total Male Number,Total Female Number,Male Change,Male Percentage Change,Female Percentage Change,Quota,Preferred number,Placed Number,Professors,Phd,Assoc Prof,Quota Change,Quota Change (%),Preferred number Change,Preferred number Change (%),Placed number Change,Placed number Change (%),Professors Change,Professors Change (%),Phd Change,Phd Change (%),Assoc prof Change,Assoc prof Change (%),Base Point,Success Order,Total Correct TYT,Total Correct AYT,Total Correct YDT,Base Point Change,Success Order Change,Total Correct TYT Change,Total Correct AYT Change,Total Correct YDT Change,Base Point Change (%),Success Order Change (%),Total Correct TYT Change (%),Total Correct AYT Change (%),Total Correct YDT Change (%)
Conservation and Restoration of Cultural Property,2023,88,130,26.0,15.789473684210531,25.0,42,648,42,1,2,2,1.0,2.4390243902439046,-218.0,-25.17321016166282,1.0,2.4390243902439046,1.0,inf,-1.0,-33.333333333333336,1.0,100.0,418.17482,10696,62.0,58.6,0.0,49.578010000000006,-2041.0,10.299999999999997,5.700000000000003,0.0,13.450471804137432,-16.02418151841093,19.92263056092842,10.775047258979221,
Conservation and Restoration of Cultural Property,2024,88,130,0.0,0.0,0.0,47,614,47,1,2,2,5.0,11.904761904761907,-34.0,-5.246913580246915,5.0,11.904761904761907,0.0,0.0,0.0,0.0,0.0,0.0,347.21119,180953,70.7,36.5,0.0,70.74014,-32665.0,16.0,10.0,0.0,25.58681641350875,-15.29131440234437,29.250457038391218,37.73584905660377,
Conservation and Restoration of Cultural Property (TRNC Citizens),2023,0,0,0.0,0.0,0.0,1,1,0,1,2,2,,,,,,,,,,,,,524.01624,5056,106.4,75.3,0.0,64.15351000000004,-3420.0,18.900000000000006,11.299999999999997,0.0,13.950578251905753,-40.34922133081642,21.599999999999998,17.656249999999996,
Conservation and Restoration of Cultural Property (TRNC Citizens),2024,0,0,0.0,0.0,0.0,1,3,0,1,2,2,0.0,0.0,2.0,200.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,316.8176,311440,56.1,28.6,0.0,60.901700000000034,-31675.0,9.700000000000003,6.0,0.0,23.79754442768114,-9.231598735117963,20.905172413793103,26.54867256637168,
Control and Automation Engineering,2021,414,60,0.0,0.0,0.0,72,861,72,1,6,3,,,,,,,,,,,,,478.91417,32598,95.4,65.8,0.0,76.31846000000002,-8743.0,18.900000000000006,14.199999999999996,0.0,18.95660040689455,-21.148496649814952,24.705882352941178,27.51937984496122,
Control and Automation Engineering,2022,450,79,19.0,8.695652173913038,31.666666666666664,72,1207,72,2,6,2,0.0,0.0,346.0,40.185830429732874,0.0,0.0,1.0,100.0,0.0,0.0,-1.0,-33.333333333333336,488.61562,25266,98.6,67.8,0.0,76.79186999999996,-8825.0,19.799999999999997,13.899999999999999,0.0,18.646780327749426,-25.88659763573964,25.126903553299496,25.788497217068638,
Control and Automation Engineering,2023,417,88,9.0,-7.333333333333336,11.392405063291132,72,1719,72,2,7,5,0.0,0.0,512.0,42.41922120961061,0.0,0.0,0.0,0.0,1.0,16.666666666666675,3.0,150.0,422.68794,24514,77.5,53.9,0.0,69.2278,-19003.0,15.700000000000003,11.699999999999996,0.0,19.585744519877114,-43.66799181928901,25.404530744336572,27.725118483412302,
Control and Automation Engineering,2024,417,88,0.0,0.0,0.0,77,1995,77,2,7,5,5.0,6.944444444444442,276.0,16.055846422338572,5.0,6.944444444444442,0.0,0.0,0.0,0.0,0.0,0.0,462.07905,46178,91.3,63.1,0.0,71.95125000000002,-5578.0,16.89999999999999,13.600000000000001,0.0,18.442994834000558,-10.777494396784915,22.71505376344085,27.474747474747474,
Control and Automation Engineering (English),2021,311,61,0.0,0.0,0.0,52,957,52,1,6,3,,,,,,,,,,,,,497.21067,19381,99.3,70.2,0.0,73.69252,-6742.0,18.200000000000003,13.100000000000001,0.0,17.400085450883275,-25.808674348275463,22.44143033292232,22.94220665499125,
Control and Automation Engineering (English),2022,361,80,19.0,16.077170418006425,31.147540983606547,52,1249,52,2,6,2,0.0,0.0,292.0,30.51201671891326,0.0,0.0,1.0,100.0,0.0,0.0,-1.0,-33.333333333333336,437.16823,68151,83.2,57.5,0.0,63.64060999999998,1013.0,13.400000000000006,11.399999999999999,0.0,17.037725349466793,1.5088325538443303,19.19770773638969,24.728850325379614,
